prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority
東京都,中野区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,中野区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,中野区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,中野区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,杉並区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,杉並区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,杉並区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,杉並区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,豊島区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,豊島区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,豊島区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,豊島区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,北区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,北区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,北区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,北区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,荒川区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,荒川区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,荒川区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,荒川区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,板橋区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,板橋区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,板橋区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,板橋区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,練馬区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,練馬区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,練馬区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,練馬区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,足立区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,足立区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,足立区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,足立区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,葛飾区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,葛飾区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,葛飾区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,葛飾区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,江戸川区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,江戸川区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,江戸川区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,江戸川区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1
