prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority
東京都,台東区,hazard,ハザード,ハザードマップ,https://www.city.taito.lg.jp/bosai/map/saigai/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,品川区,building_guidance,建築確認,491_ 指定道路図（建築基準法上の道路種別）,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/hpg000016085.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,品川区,building_guidance,建築確認,9999_ 建築基準法等の取扱いについて,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/20190417140152.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,品川区,building_guidance,建築確認,1_ 建築確認に関わるご相談の留意点について,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/20180517153834.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,20
東京都,品川区,hazard,ハザード,浸水に関するハザードマップと浸水実績,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai2/taihu/hpg000020939.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,品川区,road,道路関連,491_ 指定道路図（建築基準法上の道路種別）,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/hpg000016085.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,墨田区,building_guidance,建築確認,指定道路図（建築基準法上の道路種別）及び道路位置指定申請図（5号道路の指定図）の閲覧について,https://www.city.sumida.lg.jp/matizukuri/douro/annai/siteidourozu-koukai.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,墨田区,building_guidance,建築確認,建築基準法上の道路について,https://www.city.sumida.lg.jp/matizukuri/kentiku/keikaku/douro/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,墨田区,district_plan,都市計画情報,都市計画図,https://www.city.sumida.lg.jp/matizukuri/tosi_keikaku/tosi_keikaku/test--toshikeikakuzu.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,10
東京都,墨田区,hazard,ハザード,墨田区水害ハザードマップ,https://www.city.sumida.lg.jp/anzen_anshin/bousai/suigai/suigai.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,墨田区,road,道路関連,指定道路図（建築基準法上の道路種別）及び道路位置指定申請図（5号道路の指定図）の閲覧について,https://www.city.sumida.lg.jp/matizukuri/douro/annai/siteidourozu-koukai.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,墨田区,road,道路関連,「墨田区道路台帳現況図」検索・閲覧システムは「すみだまちづくりマップ」に移行しました,https://www.city.sumida.lg.jp/matizukuri/douro/dourowoshiraberu/douro_daicho.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,墨田区,road,道路関連,道路関係資料の閲覧・取得（道路台帳現況図など）,https://www.city.sumida.lg.jp/matizukuri/douro/dourowoshiraberu/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,大田区,building_guidance,建築確認,建築物・建築計画,https://www.city.ota.tokyo.jp/seikatsu/sumaimachinami/kenchiku/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,30
東京都,大田区,hazard,ハザード,"大田区防災ハザードマップ（PDF：17,750KB）",https://www.city.ota.tokyo.jp/seikatsu/chiiki/bousai/suigai/hazardmap.files/20260226_ALL.pdf,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,文京区,building_guidance,建築確認,建築確認・許可に関すること,https://www.city.bunkyo.lg.jp/machizukuri/tochi/kenchikukakunin/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,20
東京都,文京区,district_plan,都市計画情報,まちづくり・都市計画,https://www.city.bunkyo.lg.jp/machizukuri/toshikeikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,30
東京都,文京区,hazard,ハザード,ハザードマップ,https://www.city.bunkyo.lg.jp/bousaianzen/bousai/kinkyuusaigai/map/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
東京都,文京区,road,道路関連,道路台帳平面図の閲覧について,https://www.city.bunkyo.lg.jp/b034/p004775/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,10
東京都,新宿区,district_plan,都市計画情報,都市計画図（用途地域等、都市施設等）の閲覧（PDF形式）,https://www.city.shinjuku.lg.jp/kusei/toshikei01_002180.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,10
東京都,新宿区,hazard,ハザード,ハザードマップ（災害危険個所図）,https://www.city.shinjuku.lg.jp/anzen/anshin00_100002.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,10
