base_municipality,category,search_keyword,google_search_url,registered_url
江東区,building_guidance,江東区 建築指導課,https://www.google.com/search?q=%E6%B1%9F%E6%9D%B1%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
品川区,official,品川区 公式サイト,https://www.google.com/search?q=%E5%93%81%E5%B7%9D%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
品川区,road,品川区 指定道路図,https://www.google.com/search?q=%E5%93%81%E5%B7%9D%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
品川区,district_plan,品川区 地区計画,https://www.google.com/search?q=%E5%93%81%E5%B7%9D%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
品川区,building_guidance,品川区 建築指導課,https://www.google.com/search?q=%E5%93%81%E5%B7%9D%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
目黒区,official,目黒区 公式サイト,https://www.google.com/search?q=%E7%9B%AE%E9%BB%92%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
目黒区,road,目黒区 指定道路図,https://www.google.com/search?q=%E7%9B%AE%E9%BB%92%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
目黒区,district_plan,目黒区 地区計画,https://www.google.com/search?q=%E7%9B%AE%E9%BB%92%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
目黒区,building_guidance,目黒区 建築指導課,https://www.google.com/search?q=%E7%9B%AE%E9%BB%92%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
大田区,official,大田区 公式サイト,https://www.google.com/search?q=%E5%A4%A7%E7%94%B0%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
大田区,road,大田区 指定道路図,https://www.google.com/search?q=%E5%A4%A7%E7%94%B0%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
大田区,district_plan,大田区 地区計画,https://www.google.com/search?q=%E5%A4%A7%E7%94%B0%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
