prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority
東京都,台東区,building_guidance,建築確認,このページの本文へ移動,https://www.city.taito.lg.jp/kenchiku/machibika/kosyu/webmap.html#CONT,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,台東区,building_guidance,建築確認,確認候補,https://www.city.taito.lg.jp/kenchiku/machibika/kosyu/webmap.html#PTOP,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,台東区,building_guidance,建築確認,公衆喫煙所ウェブマップ,https://www.city.taito.lg.jp/kenchiku/machibika/kosyu/webmap.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,台東区,district_plan,都市計画情報,都市計画,https://www.city.taito.lg.jp/kenchiku/toshikeikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
東京都,台東区,district_plan,都市計画情報,各種計画など,https://www.city.taito.lg.jp/kenchiku/toshikeikaku/keikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
東京都,台東区,district_plan,都市計画情報,(別紙1)仕様書（PDF：507KB）,https://www.city.taito.lg.jp/jigyosha/keiyaku/proposal/asakusatoshikibann.files/besshi1-siyousyo.pdf,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
東京都,台東区,hazard,ハザード,ハザードマップ（水害・土砂災害）,https://www.city.taito.lg.jp/bosai/map/saigai/hazardmap.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50
東京都,台東区,hazard,ハザード,宅地建物取引業者の方へ（台東区ハザードマップ作成状況）,https://www.city.taito.lg.jp/bosai/map/saigai/gyosha.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50
東京都,台東区,hazard,ハザード,ハザードマップ,https://www.city.taito.lg.jp/bosai/map/saigai/index.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50
東京都,台東区,road,道路関連,道路の管理,https://www.city.taito.lg.jp/kenchiku/doro2/doro/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,台東区,road,道路関連,道路工事,https://www.city.taito.lg.jp/kenchiku/doro2/doroijihoshu/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,台東区,road,道路関連,標準構造図集,https://www.city.taito.lg.jp/kenchiku/doro2/hyoujunkouzouzu/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,品川区,building_guidance,建築確認,491_ 指定道路図（建築基準法上の道路種別）,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/hpg000016085.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,品川区,building_guidance,建築確認,9999_ 建築基準法等の取扱いについて,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/20190417140152.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,品川区,building_guidance,建築確認,1_ 建築確認に関わるご相談の留意点について,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/20180517153834.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,品川区,district_plan,都市計画情報,9999_ 戸越六丁目地区地区計画について,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-toshiseibi/20210219092120.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
東京都,品川区,district_plan,都市計画情報,9999_ 西品川二・三丁目地区地区計画について,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-toshiseibi/20251014165418.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
