base_municipality,category,search_query,rank,score,title,url,snippet,error
江戸川区,district_plan,江戸川区 地区計画,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf6990>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
江戸川区,official,江戸川区 公式サイト,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88 (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf6490>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
江戸川区,road,江戸川区 指定道路図 道路台帳 建築基準法道路,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b34abf6710>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
練馬区,building_guidance,練馬区 建築指導課 建築確認,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2+%E5%BB%BA%E7%AF%89%E7%A2%BA%E8%AA%8D
練馬区,district_plan,練馬区 地区計画,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB
練馬区,official,練馬区 公式サイト,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88
練馬区,road,練馬区 指定道路図 道路台帳 建築基準法道路,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E7%B7%B4%E9%A6%AC%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF
荒川区,building_guidance,荒川区 建築指導課 建築確認,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2+%E5%BB%BA%E7%AF%89%E7%A2%BA%E8%AA%8D
荒川区,district_plan,荒川区 地区計画,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB
荒川区,official,荒川区 公式サイト,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E8%8D%92%E5%B7%9D%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88
