base_municipality,detected_category,depth,title,url,source_page_title,source_page_url,error
世田谷区,hazard,3,防災用品のあっせん,https://www.city.setagaya.lg.jp/02049/582.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災用品の準備,https://www.city.setagaya.lg.jp/02049/584.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,中高層住宅の防災対策について,https://www.city.setagaya.lg.jp/02049/585.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,世田谷区防災ポータルサイトを開設しました,https://www.city.setagaya.lg.jp/02049/587.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,世田谷区防災関連リンク集,https://www.city.setagaya.lg.jp/02049/588.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災アプリをご活用ください,https://www.city.setagaya.lg.jp/02049/591.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災行政無線,https://www.city.setagaya.lg.jp/02049/593.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災気象情報,https://www.city.setagaya.lg.jp/02049/595.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災啓発物一覧,https://www.city.setagaya.lg.jp/02049/600.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災教室の申し込み,https://www.city.setagaya.lg.jp/02049/623.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災区民組織活動奨励金,https://www.city.setagaya.lg.jp/02049/627.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災区民組織資機材助成,https://www.city.setagaya.lg.jp/02049/628.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,想定浸水深表示板の設置について,https://www.city.setagaya.lg.jp/02049/634.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,台風や大雨による土砂災害にご注意ください,https://www.city.setagaya.lg.jp/02049/638.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,世田谷区水害・土砂災害に関する避難情報の判断基準について,https://www.city.setagaya.lg.jp/02049/640.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,「世田谷区地域防災計画[令和7年修正]地区防災計画編について」,https://www.city.setagaya.lg.jp/02049/679.html,まちづくり活動の目標（地区ビジョン）と地区アセスメント,https://www.city.setagaya.lg.jp/01049/10433.html,
世田谷区,hazard,3,世田谷地域 防災フェア,https://www.city.setagaya.lg.jp/02072/20516.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,世田谷地域各地区の防災情報を公開しています,https://www.city.setagaya.lg.jp/02072/20596.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,烏山地域の防災訓練・防災教室,https://www.city.setagaya.lg.jp/02226/693.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,集中豪雨に注意しましょう　各自でできる浸水対策,https://www.city.setagaya.lg.jp/02401/580.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,令和元年台風第19号に伴う浸水被害検証委員会,https://www.city.setagaya.lg.jp/02401/706.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,令和元年台風第19号に伴う浸水被害の検証（最終報告）,https://www.city.setagaya.lg.jp/02401/707.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,水害・雪害・土砂災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html#a12356,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,日頃から知っておきたい防災情報,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html#a12357,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,区の防災対策・計画・方針等,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html#a12358,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災地域版,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html#a12359,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,水害時・土砂災害時避難所について,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html#a577,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,hazard,3,防災の取り組み,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12843.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
